Date,Fioul,Charbon,Gaz,NuclÈaire,Solaire,Eolien,Hydraulique,Production,Consommation
2021-04-09,167.25,13.1875,5199.395833333333,38172.770833333336,1678.1458333333333,4021.5208333333335,6631.270833333333,55883.54166666668,56095.25
2021-04-10,110.77083333333333,18.979166666666668,4926.8125,37005.020833333336,1057.5,4472.0625,5594.125,53185.270833333336,50245.520833333336
2021-04-11,71.66666666666667,19.875,3283.125,36994.791666666664,997.4791666666666,5149.8125,5073.208333333333,51589.95833333333,50339.916666666664
2021-04-12,368.5208333333333,18.125,5162.041666666667,37666.458333333336,2246.9375,2503.7708333333335,7080.9375,55046.79166666667,58612.333333333336
2021-04-13,175.14583333333334,22.958333333333332,5358.083333333333,37220.0625,2542.9583333333335,2662.6041666666665,6977.854166666667,54959.666666666664,58870.020833333336
2021-04-14,207.95833333333334,472.1041666666667,5324.208333333333,37969.020833333336,2590.4583333333335,4163.604166666667,6194.9375,56922.29166666667,58401.354166666664
2021-04-15,98.85416666666667,482.625,5142.270833333333,39068.145833333336,2560.5833333333335,4578.666666666667,5916.875,57848.020833333336,58729.395833333336
2021-04-16,72.79166666666667,505.0416666666667,5321.041666666667,39076.895833333336,2230.6458333333335,4829.604166666667,5584.208333333333,57620.22916666667,58840.75
2021-04-17,74.29166666666667,485.1458333333333,4279.104166666667,36091.375,1958.1458333333333,4929.791666666667,4314.625,52132.479166666664,53085.1875
2021-04-18,74.08333333333333,483.9375,4660.854166666667,35967.458333333336,2227.1041666666665,2597.7916666666665,4006.0208333333335,50017.25,49859.6875
2021-04-19,73.625,520.1041666666666,5202.708333333333,37059.291666666664,2459.875,992.9583333333334,5235.416666666667,51543.979166666664,53931.604166666664
2021-04-20,71.97916666666667,509.9375,5154.9375,37857.104166666664,2069.9583333333335,807.2291666666666,5077.541666666667,51548.68749999999,52753.729166666664
2021-04-21,70.77083333333333,482.0625,4918.541666666667,37852.3125,1891.3125,2621.1875,4599.458333333333,52435.645833333336,51517.229166666664
2021-04-22,70.66666666666667,511.6875,4534.666666666667,37875.5625,2641.6041666666665,5086.375,4209.166666666667,54929.729166666664,50350.875
2021-04-23,71.04166666666667,448.9791666666667,4153.0625,37684.041666666664,2811.8541666666665,4906.5625,4078.5625,54154.104166666664,48715.958333333336
2021-04-24,70.58333333333333,114.33333333333333,1666.0625,36537.0625,2730.6041666666665,5805.5,3491.5833333333335,50415.729166666664,43183.083333333336
2021-04-25,70.10416666666667,18.333333333333332,1223.1666666666667,35123.375,1845.7916666666667,8238.104166666666,3509.6875,50028.56249999999,41420.458333333336
2021-04-26,70.52083333333333,367.5208333333333,3499.7916666666665,38214.791666666664,1441.6666666666667,7361.145833333333,4598.604166666667,55554.041666666664,48186.041666666664
2021-04-27,70.04166666666667,471.0625,3787.8333333333335,38094.333333333336,1828.9791666666667,2251.6666666666665,5044.3125,51548.229166666664,49089.229166666664
2021-04-28,71.8125,485.1041666666667,3767.6458333333335,38097.958333333336,1348.0,1833.3958333333333,5079.375,50683.29166666667,49596.895833333336
2021-04-29,82.52083333333333,488.7708333333333,3735.9791666666665,38600.4375,1370.1041666666667,2019.875,5906.979166666667,52204.666666666664,50730.020833333336
2021-04-30,102.97916666666667,517.3541666666666,3805.3125,37938.541666666664,1405.0,1104.4791666666667,6182.520833333333,51056.1875,50973.604166666664
2021-05-01,79.60416666666667,73.125,1340.3541666666667,38583.416666666664,1321.5625,2071.9375,5824.458333333333,49294.458333333336,45421.666666666664
2021-05-02,79.66666666666667,19.583333333333332,1155.8333333333333,35190.520833333336,2281.3125,1568.0,6484.958333333333,46779.87500000001,45516.229166666664
2021-05-03,165.10416666666666,17.916666666666668,2197.5,35850.416666666664,2793.8125,3845.6666666666665,7136.208333333333,52006.625,51185.791666666664
2021-05-04,80.25,20.458333333333332,1090.4791666666667,36268.4375,1908.7708333333333,11289.458333333334,5573.458333333333,56231.31250000001,51895.6875
2021-05-05,168.79166666666666,20.479166666666668,1543.0625,37700.6875,2211.0416666666665,6771.208333333333,6307.229166666667,54722.5,51746.895833333336
2021-05-06,159.91666666666666,21.145833333333332,3051.1041666666665,37473.3125,1380.0,4275.1875,7121.104166666667,53481.77083333333,53408.916666666664
2021-05-07,129.79166666666666,20.6875,2588.0,37380.5,2147.3125,2281.6458333333335,7761.75,52309.6875,51057.770833333336
2021-05-08,89.625,20.708333333333332,981.9583333333334,33157.854166666664,2621.2708333333335,5594.479166666667,8040.666666666667,50506.56249999999,42916.729166666664
2021-05-09,218.29166666666666,20.5625,834.2083333333334,27989.9375,1569.6041666666667,8150.291666666667,6444.5625,45227.458333333336,39762.729166666664
2021-05-10,78.35416666666667,20.041666666666668,1376.0625,35850.479166666664,1543.5208333333333,5961.75,8519.8125,53350.020833333336,45968.75
2021-05-11,78.95833333333333,19.479166666666668,2519.1875,37217.5,1807.5625,3563.8333333333335,8249.979166666666,53456.5,48004.645833333336
